HGNC ID	Approved symbol	Approved name	Locus type	NCBI Gene ID(supplied by NCBI)
HGNC:12802	XBP1P1	X-box binding protein 1 pseudogene 1	pseudogene	7495
HGNC:12804	XCE	X chromosome controlling element	region	7497
HGNC:10645	XCL1	X-C motif chemokine ligand 1	gene with protein product	6375
HGNC:10646	XCL2	X-C motif chemokine ligand 2	gene with protein product	6846
HGNC:1625	XCR1	X-C motif chemokine receptor 1	gene with protein product	2829
HGNC:12805	XDH	xanthine dehydrogenase	gene with protein product	7498
HGNC:12806	XG	Xg glycoprotein (Xg blood group)	gene with protein product	7499
HGNC:12807	XGY1	XG pseudogene, Y-linked 1	pseudogene	7500
HGNC:34022	XGY2	XG pseudogene, Y-linked 2	pseudogene	100132596
HGNC:592	XIAP	X-linked inhibitor of apoptosis	gene with protein product	331
HGNC:40078	XIAP-AS1	XIAP antisense RNA 1	RNA, long non-coding	106480735
HGNC:52375	XIAPP1	X-linked inhibitor of apoptosis pseudogene 1	pseudogene	100996851
HGNC:52376	XIAPP2	X-linked inhibitor of apoptosis pseudogene 2	pseudogene	100420509
HGNC:52377	XIAPP3	X-linked inhibitor of apoptosis pseudogene 3	pseudogene	100128413
HGNC:12809	XIC	X chromosome inactivation center	region	7502
HGNC:14301	XIRP1	xin actin binding repeat containing 1	gene with protein product	165904
HGNC:14303	XIRP2	xin actin binding repeat containing 2	gene with protein product	129446
HGNC:40679	XIRP2-AS1	XIRP2 antisense RNA 1	RNA, long non-coding	100874011
HGNC:12810	XIST	X inactive specific transcript	RNA, long non-coding	7503
HGNC:12811	XK	X-linked Kx blood group	gene with protein product	7504
HGNC:28778	XKR3	XK related 3	gene with protein product	150165
HGNC:29394	XKR4	XK related 4	gene with protein product	114786
HGNC:20782	XKR5	XK related 5	gene with protein product	389610
HGNC:27806	XKR6	XK related 6	gene with protein product	286046
HGNC:23062	XKR7	XK related 7	gene with protein product	343702
HGNC:25508	XKR8	XK related 8	gene with protein product	55113
HGNC:20937	XKR9	XK related 9	gene with protein product	389668
HGNC:29845	XKRX	XK related X-linked	gene with protein product	402415
HGNC:18571	XKRY	XK related, Y-linked	unknown	9082
HGNC:23922	XKRY2	XK related, Y-linked 2	unknown	353515
HGNC:23908	XKRYP1	XK related, Y-linked pseudogene 1	pseudogene	379028
HGNC:23909	XKRYP2	XK related, Y-linked pseudogene 2	pseudogene	379029
HGNC:23910	XKRYP3	XK related, Y-linked pseudogene 3	pseudogene	379030
HGNC:23911	XKRYP4	XK related, Y-linked pseudogene 4	pseudogene	379031
HGNC:23912	XKRYP5	XK related, Y-linked pseudogene 5	pseudogene	379032
HGNC:23913	XKRYP6	XK related, Y-linked pseudogene 6	pseudogene	379033
HGNC:12814	XPA	XPA, DNA damage recognition and repair factor	gene with protein product	7507
HGNC:12816	XPC	XPC complex subunit, DNA damage recognition and repair factor	gene with protein product	7508
HGNC:12822	XPNPEP1	X-prolyl aminopeptidase 1	gene with protein product	7511
HGNC:12823	XPNPEP2	X-prolyl aminopeptidase 2	gene with protein product	7512
HGNC:28052	XPNPEP3	X-prolyl aminopeptidase 3	gene with protein product	63929
HGNC:12825	XPO1	exportin 1	gene with protein product	7514
HGNC:17796	XPO4	exportin 4	gene with protein product	64328
HGNC:17675	XPO5	exportin 5	gene with protein product	57510
HGNC:19733	XPO6	exportin 6	gene with protein product	23214
HGNC:14108	XPO7	exportin 7	gene with protein product	23039
HGNC:12826	XPOT	exportin for tRNA	gene with protein product	11260
HGNC:16586	XPOTP1	exportin for tRNA pseudogene 1	pseudogene	170559
HGNC:12827	XPR1	xenotropic and polytropic retrovirus receptor 1	gene with protein product	9213
HGNC:12828	XRCC1	X-ray repair cross complementing 1	gene with protein product	7515
HGNC:12829	XRCC2	X-ray repair cross complementing 2	gene with protein product	7516
HGNC:12830	XRCC3	X-ray repair cross complementing 3	gene with protein product	7517
HGNC:12831	XRCC4	X-ray repair cross complementing 4	gene with protein product	7518
HGNC:12833	XRCC5	X-ray repair cross complementing 5	gene with protein product	7520
HGNC:4055	XRCC6	X-ray repair cross complementing 6	gene with protein product	2547
HGNC:45183	XRCC6P1	X-ray repair cross complementing 6 pseudogene 1	pseudogene	387703
HGNC:45184	XRCC6P2	X-ray repair cross complementing 6 pseudogene 2	pseudogene	389901
HGNC:45185	XRCC6P3	X-ray repair cross complementing 6 pseudogene 3	pseudogene	127086
HGNC:45186	XRCC6P4	X-ray repair cross complementing 6 pseudogene 4	pseudogene	100422546
HGNC:45187	XRCC6P5	X-ray repair cross complementing 6 pseudogene 5	pseudogene	442459
HGNC:30654	XRN1	5'-3' exoribonuclease 1	gene with protein product	54464
HGNC:12836	XRN2	5'-3' exoribonuclease 2	gene with protein product	22803
HGNC:18868	XRRA1	X-ray radiation resistance associated 1	gene with protein product	143570
HGNC:26639	XXYLT1	xyloside xylosyltransferase 1	gene with protein product	152002
HGNC:41153	XXYLT1-AS1	XXYLT1 antisense RNA 1	RNA, long non-coding	100874528
HGNC:41154	XXYLT1-AS2	XXYLT1 antisense RNA 2	RNA, long non-coding	101410543
HGNC:12839	XYLB	xylulokinase	gene with protein product	9942
HGNC:15516	XYLT1	xylosyltransferase 1	gene with protein product	64131
HGNC:15517	XYLT2	xylosyltransferase 2	gene with protein product	64132
HGNC:24857	YAE1	YAE1 maturation factor of ABCE1	gene with protein product	57002
HGNC:17363	YAF2	YY1 associated factor 2	gene with protein product	10138
HGNC:49034	YAM1	YY1-associated myogenesis RNA 1	RNA, long non-coding	107161157
HGNC:16262	YAP1	Yes1 associated transcriptional regulator	gene with protein product	10413
HGNC:38016	YAP1P1	Yes associated protein 1 pseudogene 1	pseudogene	442266
HGNC:38017	YAP1P2	Yes associated protein 1 pseudogene 2	pseudogene	100419909
HGNC:43890	YAP1P3	Yes associated protein 1 pseudogene 3	pseudogene	100419883
HGNC:12840	YARS1	tyrosyl-tRNA synthetase 1	gene with protein product	8565
HGNC:24249	YARS2	tyrosyl-tRNA synthetase 2	gene with protein product	51067
HGNC:1299	YBEY	ybeY metalloendoribonuclease	gene with protein product	54059
HGNC:8014	YBX1	Y-box binding protein 1	gene with protein product	4904
HGNC:8015	YBX1P1	Y-box binding protein 1 pseudogene 1	pseudogene	50631
HGNC:22635	YBX1P2	Y-box binding protein 1 pseudogene 2	pseudogene	646531
HGNC:42424	YBX1P3	Y-box binding protein 1 pseudogene 3	pseudogene	100861556
HGNC:42425	YBX1P4	Y-box binding protein 1 pseudogene 4	pseudogene	100131012
HGNC:42426	YBX1P5	Y-box binding protein 1 pseudogene 5	pseudogene	100861569
HGNC:42427	YBX1P6	Y-box binding protein 1 pseudogene 6	pseudogene	402375
HGNC:42428	YBX1P7	Y-box binding protein 1 pseudogene 7	pseudogene	100861431
HGNC:42429	YBX1P8	Y-box binding protein 1 pseudogene 8	pseudogene	100861476
HGNC:42430	YBX1P9	Y-box binding protein 1 pseudogene 9	pseudogene	100861470
HGNC:42432	YBX1P10	Y-box binding protein 1 pseudogene 10	pseudogene	158373
HGNC:17948	YBX2	Y-box binding protein 2	gene with protein product	51087
HGNC:49498	YBX2P1	YBX2 pseudogene 1	pseudogene	100124332
HGNC:54721	YBX2P2	YBX2 pseudogene 2	pseudogene	100124334
HGNC:2428	YBX3	Y-box binding protein 3	gene with protein product	8531
HGNC:2429	YBX3P1	Y-box binding protein 3 pseudogene 1	pseudogene	440359
HGNC:27158	YDJC	YdjC chitooligosaccharide deacetylase homolog	gene with protein product	150223
HGNC:25489	YEATS2	YEATS domain containing 2	gene with protein product	55689
HGNC:41101	YEATS2-AS1	YEATS2 antisense RNA 1	RNA, long non-coding	100874113
HGNC:24859	YEATS4	YEATS domain containing 4	gene with protein product	8089
HGNC:12841	YES1	YES proto-oncogene 1, Src family tyrosine kinase	gene with protein product	7525
HGNC:12842	YES1P1	YES1 pseudogene 1	pseudogene	7526
HGNC:16688	YIF1A	Yip1 interacting factor homolog A, membrane trafficking protein	gene with protein product	10897
HGNC:30511	YIF1B	Yip1 interacting factor homolog B, membrane trafficking protein	gene with protein product	90522
HGNC:25231	YIPF1	Yip1 domain family member 1	gene with protein product	54432
HGNC:28476	YIPF2	Yip1 domain family member 2	gene with protein product	78992
HGNC:21023	YIPF3	Yip1 domain family member 3	gene with protein product	25844
HGNC:28145	YIPF4	Yip1 domain family member 4	gene with protein product	84272
HGNC:24877	YIPF5	Yip1 domain family member 5	gene with protein product	81555
HGNC:28304	YIPF6	Yip1 domain family member 6	gene with protein product	286451
HGNC:26825	YIPF7	Yip1 domain family member 7	gene with protein product	285525
HGNC:24785	YJEFN3	YjeF N-terminal domain containing 3	gene with protein product	374887
HGNC:25518	YJU2	YJU2 splicing factor homolog	gene with protein product	55702
HGNC:16959	YKT6	YKT6 v-SNARE homolog	gene with protein product	10652
HGNC:17798	YLPM1	YLP motif containing 1	gene with protein product	56252
HGNC:12843	YME1L1	YME1 like 1 ATPase	gene with protein product	10730
HGNC:12844	YME1L1P1	YME1L1 pseudogene 1	pseudogene	23749
HGNC:25035	YOD1	YOD1 deubiquitinase	gene with protein product	55432
HGNC:12845	YPEL1	yippee like 1	gene with protein product	29799
HGNC:18326	YPEL2	yippee like 2	gene with protein product	388403
HGNC:18327	YPEL3	yippee like 3	gene with protein product	83719
HGNC:18328	YPEL4	yippee like 4	gene with protein product	219539
HGNC:18329	YPEL5	yippee like 5	gene with protein product	51646
HGNC:50555	YPEL5P1	YPEL5 pseudogene 1	pseudogene	100130996
HGNC:50556	YPEL5P2	YPEL5 pseudogene 2	pseudogene	100132562
HGNC:50557	YPEL5P3	YPEL5 pseudogene 3	pseudogene	100653396
HGNC:28905	YRDC	yrdC N6-threonylcarbamoyltransferase domain containing	gene with protein product	79693
HGNC:39919	YRDCP1	yrdC N(6)-threonylcarbamoyltransferase domain containing pseudogene 1	pseudogene	100420501
HGNC:39920	YRDCP2	yrdC N(6)-threonylcarbamoyltransferase domain containing pseudogene 2	pseudogene	100128237
HGNC:39921	YRDCP3	yrdC N(6)-threonylcarbamoyltransferase domain containing pseudogene 3	pseudogene	100861429
HGNC:30626	YTHDC1	YTH domain containing 1	gene with protein product	91746
HGNC:24721	YTHDC2	YTH domain containing 2	gene with protein product	64848
HGNC:15867	YTHDF1	YTH N6-methyladenosine RNA binding protein 1	gene with protein product	54915
HGNC:31681	YTHDF1P1	YTH domain family member 1 pseudogene 1	pseudogene	402220
HGNC:31675	YTHDF2	YTH N6-methyladenosine RNA binding protein 2	gene with protein product	51441
HGNC:19865	YTHDF2P1	YTH domain family member 2 pseudogene 1	pseudogene	400209
HGNC:26465	YTHDF3	YTH N6-methyladenosine RNA binding protein 3	gene with protein product	253943
HGNC:48728	YTHDF3-AS1	YTHDF3 antisense RNA 1 (head to head)	RNA, long non-coding	101410533
HGNC:12849	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta	gene with protein product	7529
HGNC:50294	YWHABP1	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta pseudogene 1	pseudogene	647051
HGNC:50295	YWHABP2	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta pseudogene 2	pseudogene	100422666
HGNC:12851	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	gene with protein product	7531
HGNC:49442	YWHAEP1	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon pseudogene 1	pseudogene	649395
HGNC:49429	YWHAEP2	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon pseudogene 2	pseudogene	106481688
HGNC:49430	YWHAEP3	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon pseudogene 3	pseudogene	106480273
HGNC:49440	YWHAEP4	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon pseudogene 4	pseudogene	106481785
HGNC:49439	YWHAEP5	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon pseudogene 5	pseudogene	440917
HGNC:49435	YWHAEP6	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon pseudogene 6	pseudogene	112296172
HGNC:49437	YWHAEP7	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon pseudogene 7	pseudogene	284100
HGNC:12852	YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma	gene with protein product	7532
HGNC:12853	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta	gene with protein product	7533
HGNC:12854	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	gene with protein product	10971
HGNC:19937	YWHAQP1	YWHAQ pseudogene 1	pseudogene	319121
HGNC:23211	YWHAQP2	YWHAQ pseudogene 2	pseudogene	246716
HGNC:37682	YWHAQP3	YWHAQ pseudogene 3	pseudogene	100128944
HGNC:37683	YWHAQP4	YWHAQ pseudogene 4	pseudogene	646954
HGNC:37684	YWHAQP5	YWHAQ pseudogene 5	pseudogene	100130391
HGNC:37685	YWHAQP6	YWHAQ pseudogene 6	pseudogene	101290504
HGNC:37686	YWHAQP7	YWHAQ pseudogene 7	pseudogene	100422674
HGNC:37687	YWHAQP8	YWHAQ pseudogene 8	pseudogene	392510
HGNC:37688	YWHAQP9	YWHAQ pseudogene 9	pseudogene	101290508
HGNC:12855	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	gene with protein product	7534
HGNC:19938	YWHAZP1	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 1	pseudogene	319120
HGNC:31078	YWHAZP2	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 2	pseudogene	150554
HGNC:31101	YWHAZP3	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 3	pseudogene	143371
HGNC:30851	YWHAZP4	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 4	pseudogene	246737
HGNC:30564	YWHAZP5	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 5	pseudogene	86123
HGNC:30849	YWHAZP6	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 6	pseudogene	158383
HGNC:39028	YWHAZP7	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 7	pseudogene	100130640
HGNC:39029	YWHAZP8	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 8	pseudogene	646016
HGNC:39030	YWHAZP9	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 9	pseudogene	441609
HGNC:12856	YY1	YY1 transcription factor	gene with protein product	7528
HGNC:30935	YY1AP1	YY1 associated protein 1	gene with protein product	55249
HGNC:45094	YY1P1	YY1 transcription factor pseudogene 1	pseudogene	100419963
HGNC:45095	YY1P2	YY1 transcription factor pseudogene 2	pseudogene	647012
HGNC:31684	YY2	YY2 transcription factor	gene with protein product	404281
HGNC:29504	ZACN	zinc activated ion channel	gene with protein product	353174
HGNC:51915	ZACNP1	zinc activated ion channel pseudogene 1	pseudogene	101929026
HGNC:28697	ZADH2	zinc binding alcohol dehydrogenase domain containing 2	gene with protein product	284273
HGNC:12857	ZAN	zonadhesin (gene/pseudogene)	gene with protein product	7455
HGNC:12858	ZAP70	zeta chain of T cell receptor associated protein kinase 70	gene with protein product	7535
HGNC:20436	ZAR1	zygote arrest 1	gene with protein product	326340
HGNC:37116	ZAR1L	zygote arrest 1 like	gene with protein product	646799
HGNC:26245	ZBBX	zinc finger B-box domain containing	gene with protein product	79740
HGNC:447	ZBED1	zinc finger BED-type containing 1	gene with protein product	9189
HGNC:44004	ZBED1P1	zinc finger BED-type containing 1 pseudogene 1	pseudogene	645145
HGNC:20710	ZBED2	zinc finger BED-type containing 2	gene with protein product	79413
HGNC:20711	ZBED3	zinc finger BED-type containing 3	gene with protein product	84327
HGNC:44188	ZBED3-AS1	ZBED3 antisense RNA 1	RNA, long non-coding	728723
HGNC:20721	ZBED4	zinc finger BED-type containing 4	gene with protein product	9889
HGNC:30803	ZBED5	zinc finger BED-type containing 5	gene with protein product	58486
HGNC:48646	ZBED5-AS1	ZBED5 antisense RNA 1	RNA, long non-coding	729013
HGNC:33273	ZBED6	zinc finger BED-type containing 6	gene with protein product	100381270
HGNC:21720	ZBED6CL	ZBED6 C-terminal like	gene with protein product	113763
HGNC:30804	ZBED8	zinc finger BED-type containing 8	gene with protein product	63920
HGNC:13851	ZBED9	zinc finger BED-type containing 9	gene with protein product	114821
HGNC:16176	ZBP1	Z-DNA binding protein 1	gene with protein product	81030
HGNC:20259	ZBTB1	zinc finger and BTB domain containing 1	gene with protein product	22890
HGNC:20868	ZBTB2	zinc finger and BTB domain containing 2	gene with protein product	57621
HGNC:54544	ZBTB2P1	ZBTB2 pseudogene 1	pseudogene	100421184
HGNC:22918	ZBTB3	zinc finger and BTB domain containing 3	gene with protein product	79842
HGNC:23847	ZBTB4	zinc finger and BTB domain containing 4	gene with protein product	57659
HGNC:23836	ZBTB5	zinc finger and BTB domain containing 5	gene with protein product	9925
HGNC:16764	ZBTB6	zinc finger and BTB domain containing 6	gene with protein product	10773
HGNC:18078	ZBTB7A	zinc finger and BTB domain containing 7A	gene with protein product	51341
HGNC:18668	ZBTB7B	zinc finger and BTB domain containing 7B	gene with protein product	51043
HGNC:31700	ZBTB7C	zinc finger and BTB domain containing 7C	gene with protein product	201501
HGNC:24172	ZBTB8A	zinc finger and BTB domain containing 8A	gene with protein product	653121
HGNC:37057	ZBTB8B	zinc finger and BTB domain containing 8B	gene with protein product	728116
HGNC:24094	ZBTB8OS	zinc finger and BTB domain containing 8 opposite strand	gene with protein product	339487
HGNC:19043	ZBTB8OSP1	zinc finger and BTB domain containing 8 opposite strand pseudogene 1	pseudogene	729566
HGNC:30326	ZBTB8OSP2	zinc finger and BTB domain containing 8 opposite strand pseudogene 2	pseudogene	729898
HGNC:28323	ZBTB9	zinc finger and BTB domain containing 9	gene with protein product	221504
HGNC:30953	ZBTB10	zinc finger and BTB domain containing 10	gene with protein product	65986
HGNC:16740	ZBTB11	zinc finger and BTB domain containing 11	gene with protein product	27107
HGNC:48573	ZBTB11-AS1	ZBTB11 antisense RNA 1	RNA, long non-coding	100009676
HGNC:19066	ZBTB12	zinc finger and BTB domain containing 12	gene with protein product	221527
HGNC:37702	ZBTB12BP	zinc finger and BTB domain containing 12B, pseudogene	pseudogene	100499252
HGNC:12860	ZBTB14	zinc finger and BTB domain containing 14	gene with protein product	7541
HGNC:12930	ZBTB16	zinc finger and BTB domain containing 16	gene with protein product	7704
HGNC:12936	ZBTB17	zinc finger and BTB domain containing 17	gene with protein product	7709
HGNC:13030	ZBTB18	zinc finger and BTB domain containing 18	gene with protein product	10472
HGNC:13503	ZBTB20	zinc finger and BTB domain containing 20	gene with protein product	26137
HGNC:40640	ZBTB20-AS1	ZBTB20 antisense RNA 1	RNA, long non-coding	100131117
HGNC:42421	ZBTB20-AS2	ZBTB20 antisense RNA 2	RNA, long non-coding	100506673
HGNC:42422	ZBTB20-AS3	ZBTB20 antisense RNA 3	RNA, long non-coding	104413890
HGNC:42423	ZBTB20-AS4	ZBTB20 antisense RNA 4	RNA, long non-coding	100874131
HGNC:52841	ZBTB20-AS5	ZBTB20 antisense RNA 5	RNA, long non-coding	101929754
HGNC:13083	ZBTB21	zinc finger and BTB domain containing 21	gene with protein product	49854
HGNC:13085	ZBTB22	zinc finger and BTB domain containing 22	gene with protein product	9278
HGNC:21143	ZBTB24	zinc finger and BTB domain containing 24	gene with protein product	9841
HGNC:13112	ZBTB25	zinc finger and BTB domain containing 25	gene with protein product	7597
HGNC:23383	ZBTB26	zinc finger and BTB domain containing 26	gene with protein product	57684
HGNC:16763	ZBTB32	zinc finger and BTB domain containing 32	gene with protein product	27033
HGNC:16682	ZBTB33	zinc finger and BTB domain containing 33	gene with protein product	10009
HGNC:31446	ZBTB34	zinc finger and BTB domain containing 34	gene with protein product	403341
HGNC:28365	ZBTB37	zinc finger and BTB domain containing 37	gene with protein product	84614
HGNC:26636	ZBTB38	zinc finger and BTB domain containing 38	gene with protein product	253461
HGNC:29014	ZBTB39	zinc finger and BTB domain containing 39	gene with protein product	9880
HGNC:29045	ZBTB40	zinc finger and BTB domain containing 40	gene with protein product	9923
HGNC:41493	ZBTB40-IT1	ZBTB40 intronic transcript 1	RNA, long non-coding	100874345
HGNC:24819	ZBTB41	zinc finger and BTB domain containing 41	gene with protein product	360023
HGNC:32550	ZBTB42	zinc finger and BTB domain containing 42	gene with protein product	100128927
HGNC:17908	ZBTB43	zinc finger and BTB domain containing 43	gene with protein product	23099
HGNC:25001	ZBTB44	zinc finger and BTB domain containing 44	gene with protein product	29068
HGNC:54265	ZBTB44-DT	ZBTB44 divergent transcript	RNA, long non-coding	646383
HGNC:23715	ZBTB45	zinc finger and BTB domain containing 45	gene with protein product	84878
HGNC:49227	ZBTB45P1	zinc finger and BTB domain containing 45 pseudogene 1	pseudogene	645129
HGNC:49228	ZBTB45P2	zinc finger and BTB domain containing 45 pseudogene 2	pseudogene	729248
HGNC:16094	ZBTB46	zinc finger and BTB domain containing 46	gene with protein product	140685
HGNC:40753	ZBTB46-AS1	ZBTB46 antisense RNA 1	RNA, long non-coding	101928604
HGNC:26955	ZBTB47	zinc finger and BTB domain containing 47	gene with protein product	92999
HGNC:4930	ZBTB48	zinc finger and BTB domain containing 48	gene with protein product	3104
HGNC:19883	ZBTB49	zinc finger and BTB domain containing 49	gene with protein product	166793
HGNC:24277	ZC2HC1A	zinc finger C2HC-type containing 1A	gene with protein product	51101
HGNC:21174	ZC2HC1B	zinc finger C2HC-type containing 1B	gene with protein product	153918
HGNC:20354	ZC2HC1C	zinc finger C2HC-type containing 1C	gene with protein product	79696
HGNC:28972	ZC3H3	zinc finger CCCH-type containing 3	gene with protein product	23144
HGNC:17808	ZC3H4	zinc finger CCCH-type containing 4	gene with protein product	23211
HGNC:24762	ZC3H6	zinc finger CCCH-type containing 6	gene with protein product	376940
HGNC:30959	ZC3H7A	zinc finger CCCH-type containing 7A	gene with protein product	29066
HGNC:30869	ZC3H7B	zinc finger CCCH-type containing 7B	gene with protein product	23264
HGNC:30941	ZC3H8	zinc finger CCCH-type containing 8	gene with protein product	84524
HGNC:25893	ZC3H10	zinc finger CCCH-type containing 10	gene with protein product	84872
HGNC:29093	ZC3H11A	zinc finger CCCH-type containing 11A	gene with protein product	9877
HGNC:25659	ZC3H11B	zinc finger CCCH-type containing 11B	gene with protein product	643136
HGNC:26259	ZC3H12A	zinc finger CCCH-type containing 12A	gene with protein product	80149
HGNC:17407	ZC3H12B	zinc finger CCCH-type containing 12B	gene with protein product	340554
HGNC:29362	ZC3H12C	zinc finger CCCH-type containing 12C	gene with protein product	85463
HGNC:21175	ZC3H12D	zinc finger CCCH-type containing 12D	gene with protein product	340152
HGNC:20368	ZC3H13	zinc finger CCCH-type containing 13	gene with protein product	23091
HGNC:20509	ZC3H14	zinc finger CCCH-type containing 14	gene with protein product	79882
HGNC:29528	ZC3H15	zinc finger CCCH-type containing 15	gene with protein product	55854
HGNC:25091	ZC3H18	zinc finger CCCH-type containing 18	gene with protein product	124245
HGNC:33799	ZC3H18-AS1	ZC3H18 antisense RNA 1 (head to head)	RNA, long non-coding	400555
HGNC:23721	ZC3HAV1	zinc finger CCCH-type containing, antiviral 1	gene with protein product	56829
HGNC:22423	ZC3HAV1L	zinc finger CCCH-type containing, antiviral 1 like	gene with protein product	92092
HGNC:29913	ZC3HC1	zinc finger C3HC-type containing 1	gene with protein product	51530
HGNC:24931	ZC4H2	zinc finger C4H2-type containing	gene with protein product	55906
HGNC:22916	ZCCHC2	zinc finger CCHC-type containing 2	gene with protein product	54877
HGNC:16230	ZCCHC3	zinc finger CCHC-type containing 3	gene with protein product	85364
HGNC:22917	ZCCHC4	zinc finger CCHC-type containing 4	gene with protein product	29063
HGNC:26209	ZCCHC7	zinc finger CCHC-type containing 7	gene with protein product	84186
HGNC:25265	ZCCHC8	zinc finger CCHC-type containing 8	gene with protein product	55596
HGNC:25424	ZCCHC9	zinc finger CCHC-type containing 9	gene with protein product	84240
HGNC:25954	ZCCHC10	zinc finger CCHC-type containing 10	gene with protein product	54819
HGNC:27273	ZCCHC12	zinc finger CCHC-type containing 12	gene with protein product	170261
HGNC:31749	ZCCHC13	zinc finger CCHC-type containing 13	gene with protein product	389874
HGNC:24134	ZCCHC14	zinc finger CCHC-type containing 14	gene with protein product	23174
HGNC:30246	ZCCHC17	zinc finger CCHC-type containing 17	gene with protein product	51538
HGNC:32459	ZCCHC18	zinc finger CCHC-type containing 18	gene with protein product	644353
HGNC:26911	ZCCHC24	zinc finger CCHC-type containing 24	gene with protein product	219654
HGNC:29620	ZCRB1	zinc finger CCHC-type and RNA binding motif containing 1	gene with protein product	85437
HGNC:23486	ZCWPW1	zinc finger CW-type and PWWP domain containing 1	gene with protein product	55063
HGNC:23574	ZCWPW2	zinc finger CW-type and PWWP domain containing 2	gene with protein product	152098
HGNC:29313	ZDBF2	zinc finger DBF-type containing 2	gene with protein product	57683
HGNC:17916	ZDHHC1	zinc finger DHHC-type containing 1	gene with protein product	29800
HGNC:18469	ZDHHC2	zinc finger DHHC-type palmitoyltransferase 2	gene with protein product	51201
HGNC:18470	ZDHHC3	zinc finger DHHC-type palmitoyltransferase 3	gene with protein product	51304
HGNC:18471	ZDHHC4	zinc finger DHHC-type palmitoyltransferase 4	gene with protein product	55146
HGNC:39443	ZDHHC4P1	zinc finger DHHC-type containing 4 pseudogene 1	pseudogene	100420920
HGNC:18472	ZDHHC5	zinc finger DHHC-type palmitoyltransferase 5	gene with protein product	25921
HGNC:19160	ZDHHC6	zinc finger DHHC-type palmitoyltransferase 6	gene with protein product	64429
HGNC:18459	ZDHHC7	zinc finger DHHC-type palmitoyltransferase 7	gene with protein product	55625
HGNC:18474	ZDHHC8	zinc finger DHHC-type palmitoyltransferase 8	gene with protein product	29801
HGNC:26461	ZDHHC8P1	ZDHHC8 pseudogene 1	pseudogene	150244
HGNC:18475	ZDHHC9	zinc finger DHHC-type palmitoyltransferase 9	gene with protein product	51114
HGNC:19158	ZDHHC11	zinc finger DHHC-type containing 11	gene with protein product	79844
HGNC:32962	ZDHHC11B	zinc finger DHHC-type containing 11B	gene with protein product	653082
HGNC:19159	ZDHHC12	zinc finger DHHC-type palmitoyltransferase 12	gene with protein product	84885
HGNC:18413	ZDHHC13	zinc finger DHHC-type palmitoyltransferase 13	gene with protein product	54503
HGNC:20341	ZDHHC14	zinc finger DHHC-type palmitoyltransferase 14	gene with protein product	79683
HGNC:20342	ZDHHC15	zinc finger DHHC-type palmitoyltransferase 15	gene with protein product	158866
HGNC:20714	ZDHHC16	zinc finger DHHC-type palmitoyltransferase 16	gene with protein product	84287
HGNC:18412	ZDHHC17	zinc finger DHHC-type palmitoyltransferase 17	gene with protein product	23390
HGNC:20712	ZDHHC18	zinc finger DHHC-type palmitoyltransferase 18	gene with protein product	84243
HGNC:20713	ZDHHC19	zinc finger DHHC-type palmitoyltransferase 19	gene with protein product	131540
HGNC:20749	ZDHHC20	zinc finger DHHC-type palmitoyltransferase 20	gene with protein product	253832
HGNC:39900	ZDHHC20-IT1	ZDHHC20 intronic transcript 1	RNA, long non-coding	100874367
HGNC:33456	ZDHHC20P1	zinc finger DHHC-type containing 20 pseudogene 1	pseudogene	100048907
HGNC:33457	ZDHHC20P2	zinc finger DHHC-type containing 20 pseudogene 2	pseudogene	100048908
HGNC:39775	ZDHHC20P3	zinc finger DHHC-type containing 20 pseudogene 3	pseudogene	100874348
